timeC,obsC,timel,obsl,time1,obsl1,time2,obsl2
1989,1317.9435,1999.25,24763,2004.5,18177.143,2014.833,3629.187362
1989.25,2588.647,2001.25,24913,2006.5,35539.397,2015.833,30826.765
1989.5,1336.252,2002.25,21335,2007.583,28882.127,2016.833,19860.913
1989.75,111.41,2003.167,24565,2009.583,21580.497,2018.833,10493.278
1990,2300.364,2005.33,14041,2010.583,12338.704,2019.833,47431.92797
1990.25,1571.006,2006.33,24082,2013.66,8486.944,2020.833,36070.291
1990.5,1182.219,2007.33,38020,2014.583,29218.986,2021.833,17384.67398
1990.75,765.474,2008.33,34162,2015.583,21300.22425,2022.833,11911.959
1991,1049.15,2009.33,24745,2016.583,34183.974,2023.833,8299.64
1991.25,3692.705,2010.33,7122.254,2017.583,12228.918,,
1991.5,701.617,2013.33,12700,2018.583,34907.689,,
1991.75,273.876,2014.33,28917,2019.583,57699.988,,
1992,1125.1255,2015.33,33100,2020.66,44886.896,,
1992.25,1368.1505,2016.33,50322.85,2023.583,9527.948,,
1992.5,499.605,2017.33,13454.042,,,,
1992.75,3.82,2018.33,23473,,,,
1993,766.822,2019.33,29876,,,,
1993.25,921.209,2020.25,49253.2871,,,,
1993.5,166.867,2021.25,14065,,,,
1993.75,105.053,2022.25,8972.473132,,,,
1994,689.6753,2023.25,26785.49184,,,,
1994.25,2055.2715,,,,,,
1994.5,210.042,,,,,,
1994.75,80.47,,,,,,
1995,185.366,,,,,,
1995.25,79.8917,,,,,,
1995.5,147.933,,,,,,
1995.75,157.423,,,,,,
1996,41.043,,,,,,
1996.25,807.1949,,,,,,
1996.5,585.565,,,,,,
1996.75,397.6074,,,,,,
1997,907.8398,,,,,,
1997.25,1110.0531,,,,,,
1997.5,2006.9275,,,,,,
1997.75,588.3929,,,,,,
1998,1781.4164,,,,,,
1998.25,2175.5461,,,,,,
1998.5,2909.4182,,,,,,
1998.75,2715.9148,,,,,,
1999,1638.3307,,,,,,
1999.25,1994.9302,,,,,,
1999.5,1615.9149,,,,,,
1999.75,691.3792,,,,,,
2000,412.1563,,,,,,
2000.25,667.8639,,,,,,
2000.5,673.1865,,,,,,
2000.75,600.2358,,,,,,
2001,1045.5735,,,,,,
2001.25,3226.8242,,,,,,
2001.5,3275.3612,,,,,,
2001.75,1088.9125,,,,,,
2002,1771.8952,,,,,,
2002.25,2957.3697,,,,,,
2002.5,2698.9787,,,,,,
2002.75,816.013,,,,,,
2003,1027.3472,,,,,,
2003.25,2538.9673,,,,,,
2003.5,965.3464,,,,,,
2003.75,416.1445,,,,,,
2004,1384.2269,,,,,,
2004.25,1976.4188,,,,,,
2004.5,1521.8843,,,,,,
2004.75,698.6582,,,,,,
2005,1398.1014,,,,,,
2005.25,2252.438,,,,,,
2005.5,705.5003,,,,,,
2005.75,84.7802,,,,,,
2006,1296.8964,,,,,,
2006.25,2657.272,,,,,,
2006.5,415.7993,,,,,,
2006.75,19.1224,,,,,,
2007,1581.1,,,,,,
2007.25,2251.474,,,,,,
2007.5,1422.7114,,,,,,
2007.75,360.9648,,,,,,
2008,612.7774,,,,,,
2008.25,1120.8583,,,,,,
2008.5,910.2741,,,,,,
2008.75,575.7156,,,,,,
2009,533.4636,,,,,,
2009.25,1280.0593,,,,,,
2009.5,1015.5397,,,,,,
2009.75,125.8569,,,,,,
2010,66.8165,,,,,,
2010.25,1708.6936,,,,,,
2010.5,919.8847,,,,,,
2010.75,232.0384,,,,,,
2011,1326.2015,,,,,,
2011.25,2342.553,,,,,,
2011.5,2051.2901,,,,,,
2011.75,571.2697,,,,,,
2012,1158.8977,,,,,,
2012.25,2433.358,,,,,,
2012.5,1219.5694,,,,,,
2012.75,26.3829,,,,,,
2013,434.4662,,,,,,
2013.25,1837.2732,,,,,,
2013.5,2683.1505,,,,,,
2013.75,276.572,,,,,,
2014,1754.3426,,,,,,
2014.25,3553.2523,,,,,,
2014.5,3299.6681,,,,,,
2014.75,438.975,,,,,,
2015,1470.6433,,,,,,
2015.25,2424.776,,,,,,
2015.5,1880.437,,,,,,
2015.75,1174.2288,,,,,,
2016,1351.9376,,,,,,
2016.25,2267.3423,,,,,,
2016.5,2253.7561,,,,,,
2016.75,868.778,,,,,,
2017,1051.1826,,,,,,
2017.25,2212.8205,,,,,,
2017.5,1140.493,,,,,,
2017.75,206.3776,,,,,,
2018,235.8263,,,,,,
2018.25,2391.2493,,,,,,
2018.5,1413.9697,,,,,,
2018.75,457.7676,,,,,,
2019,322.281,,,,,,
2019.25,1620.614,,,,,,
2019.5,1889.173,,,,,,
2019.75,981.52,,,,,,
2020,1286.4939,,,,,,
2020.25,2314.5202,,,,,,
2020.5,2603.3074,,,,,,
2020.75,1113.028,,,,,,
2021,644.267,,,,,,
2021.25,3500.0688,,,,,,
2021.5,2794.349,,,,,,
2021.75,622.914,,,,,,
2022,531.826,,,,,,
2022.25,2682.18,,,,,,
2022.5,2679.234,,,,,,
2022.75,721.875,,,,,,
2023,933,,,,,,
2023.25,3609,,,,,,
2023.5,2151,,,,,,
2023.75,622,,,,,,
